-1.000000000000000000e+00,1.111725792288780212e-01,-8.829448819160461426e-01,1.253391206264495850e-01,7.161884307861328125e-01,6.403856724500656128e-02,2.197000000000000000e+03,2.256296875000000000e+03
-5.394095778465270996e-01,7.247940897941589355e-01,-6.548976898193359375e-01,4.236583113670349121e-01,8.487679958343505859e-01,6.567808240652084351e-02,2.585000000000000000e+03,2.946907470703125000e+03
4.545493423938751221e-01,6.831329315900802612e-02,2.919967472553253174e-01,8.309008926153182983e-02,5.170302391052246094e-01,2.049494385719299316e-01,1.443000000000000000e+03,1.583362548828125000e+03
4.223684668540954590e-01,-3.499999940395355225e-01,3.477143645286560059e-01,-4.304896295070648193e-01,1.201962113380432129e+00,4.846717789769172668e-02,2.972000000000000000e+03,2.996696533203125000e+03
9.179693460464477539e-01,4.801009297370910645e-01,8.193389773368835449e-01,5.727049708366394043e-01,6.404939293861389160e-01,6.254523247480392456e-02,2.286000000000000000e+03,2.387123779296875000e+03
1.366542428731918335e-01,-3.659073412418365479e-01,3.503685295581817627e-01,-3.254761099815368652e-01,8.331189751625061035e-01,5.709082633256912231e-02,3.523000000000000000e+03,3.758944335937500000e+03
3.878882527351379395e-01,-8.000000119209289551e-01,2.951024174690246582e-01,-9.025836586952209473e-01,6.482630968093872070e-01,7.120048254728317261e-02,1.968000000000000000e+03,2.056456787109375000e+03
6.961627006530761719e-01,3.127079904079437256e-01,5.990217328071594238e-01,3.204510807991027832e-01,4.965909123420715332e-01,8.484489470720291138e-02,1.499000000000000000e+03,1.556173583984375000e+03
5.784529447555541992e-01,-2.178191244602203369e-01,4.229741096496582031e-01,-2.700967788696289062e-01,1.092720746994018555e+00,6.209387630224227905e-02,4.280000000000000000e+03,4.376154785156250000e+03
5.173884034156799316e-01,4.545493423938751221e-01,5.907165408134460449e-01,5.879151225090026855e-01,8.303306698799133301e-01,5.570528283715248108e-02,2.716000000000000000e+03,2.806633789062500000e+03
-8.707512021064758301e-01,-3.376019001007080078e-02,-8.449767231941223145e-01,-9.926064312458038330e-02,6.000585556030273438e-01,7.651922851800918579e-02,1.858000000000000000e+03,1.883381958007812500e+03
-2.500000000000000000e-01,-1.000000014901161194e-01,-4.808141291141510010e-01,-3.081567585468292236e-02,1.006504654884338379e+00,3.691988289356231689e-01,1.468900000000000000e+04,1.551873730468750000e+04
2.783851325511932373e-01,6.672313809394836426e-01,4.041676521301269531e-01,5.215066075325012207e-01,8.297613859176635742e-01,6.405396759510040283e-02,2.591000000000000000e+03,2.728960693359375000e+03
-5.500000119209289551e-01,-4.499999880790710449e-01,-4.624865949153900146e-01,-2.628397047519683838e-01,7.223843932151794434e-01,8.409372717142105103e-02,2.020000000000000000e+03,2.182457031250000000e+03
-8.165807463228702545e-03,-8.707512021064758301e-01,-2.686972618103027344e-01,-9.049528837203979492e-01,7.695527672767639160e-01,6.004172936081886292e-02,2.821000000000000000e+03,3.141001464843750000e+03
6.961627006530761719e-01,4.829588830471038818e-01,6.501625180244445801e-01,4.376442134380340576e-01,9.058766961097717285e-01,6.379342079162597656e-02,2.932000000000000000e+03,2.946911865234375000e+03
-6.000000238418579102e-01,-1.159073337912559509e-01,-5.927393436431884766e-01,9.313460439443588257e-02,1.062917828559875488e+00,6.239905580878257751e-02,3.658000000000000000e+03,3.798310546875000000e+03
0.000000000000000000e+00,-7.500000000000000000e-01,-1.245018914341926575e-01,-4.841756224632263184e-01,9.482266902923583984e-01,6.748070567846298218e-02,3.340000000000000000e+03,3.653002441406250000e+03
6.083970069885253906e-01,-1.500000059604644775e-01,6.830022931098937988e-01,-4.665322303771972656e-01,1.065425515174865723e+00,6.197973340749740601e-02,3.403000000000000000e+03,3.712717773437500000e+03
-5.000000074505805969e-02,-8.500000238418579102e-01,-1.450303196907043457e-01,-1.008135795593261719e+00,7.422683238983154297e-01,8.611996471881866455e-02,2.199000000000000000e+03,2.333144531250000000e+03
-2.303705066442489624e-01,-6.499999761581420898e-01,-1.696406304836273193e-01,-3.760891258716583252e-01,9.960072040557861328e-01,6.433296948671340942e-02,3.444000000000000000e+03,3.712653564453125000e+03
-1.661394163966178894e-02,-1.500000059604644775e-01,4.404736310243606567e-02,-7.560211699455976486e-03,9.211267828941345215e-01,3.540865778923034668e-01,1.126500000000000000e+04,1.158108886718750000e+04
-6.999999880790710449e-01,-2.178191244602203369e-01,-3.198495507240295410e-01,-2.567401826381683350e-01,8.745303153991699219e-01,1.090594828128814697e-01,2.473000000000000000e+03,2.927239257812500000e+03
-7.500000000000000000e-01,4.223684668540954590e-01,-9.389839172363281250e-01,4.696231484413146973e-01,7.750775218009948730e-01,7.227148860692977905e-02,2.013000000000000000e+03,2.138142333984375000e+03
-8.500000238418579102e-01,1.157501637935638428e-01,-6.736775636672973633e-01,1.248818933963775635e-01,8.652172684669494629e-01,5.867123231291770935e-02,2.532000000000000000e+03,2.636402343750000000e+03
6.961627006530761719e-01,1.571419537067413330e-01,7.395680546760559082e-01,1.937274485826492310e-01,8.351176977157592773e-01,1.075031757354736328e-01,2.628000000000000000e+03,2.640070068359375000e+03
6.083970069885253906e-01,-4.000000059604644775e-01,8.564499616622924805e-01,-2.410959899425506592e-01,9.728027582168579102e-01,5.729620531201362610e-02,2.910000000000000000e+03,3.171531982421875000e+03
-3.337264657020568848e-01,-5.500000119209289551e-01,-2.917062640190124512e-01,-6.138080954551696777e-01,6.541030406951904297e-01,1.665497720241546631e-01,1.581000000000000000e+03,1.602406738281250000e+03
-6.000000238418579102e-01,-7.686384022235870361e-02,-6.902645826339721680e-01,1.116320863366127014e-01,8.877614736557006836e-01,7.849667221307754517e-02,3.458000000000000000e+03,3.646743164062500000e+03
2.450749576091766357e-01,-8.500000238418579102e-01,2.113418430089950562e-01,-7.358239889144897461e-01,7.840652465820312500e-01,6.184251978993415833e-02,2.549000000000000000e+03,2.607488769531250000e+03
-8.500000238418579102e-01,2.555765770375728607e-02,-5.912390947341918945e-01,4.779248312115669250e-02,9.367657303810119629e-01,5.955594405531883240e-02,2.367000000000000000e+03,2.546038574218750000e+03
-4.000000059604644775e-01,1.764043420553207397e-01,-4.919433593750000000e-01,3.012999296188354492e-01,9.362160563468933105e-01,3.533604741096496582e-01,9.675000000000000000e+03,9.939550781250000000e+03
