6.238135099411010742e-01,1.172639876604080200e-01,2.523709472656250000e+03
6.884368062019348145e-01,7.226459681987762451e-02,2.324926269531250000e+03
6.858877539634704590e-01,6.146679073572158813e-02,2.195740966796875000e+03
7.608572244644165039e-01,6.653922796249389648e-02,3.005533691406250000e+03
7.281273603439331055e-01,7.788803428411483765e-02,3.065280029296875000e+03
6.363258361816406250e-01,6.981322169303894043e-02,2.418760742187500000e+03
7.411022782325744629e-01,7.623074203729629517e-02,2.365867675781250000e+03
5.493342876434326172e-01,6.638387590646743774e-02,1.622663940429687500e+03
5.987226963043212891e-01,7.430042326450347900e-02,1.803099609375000000e+03
7.265904545783996582e-01,6.020837277173995972e-02,3.272064697265625000e+03
6.823543906211853027e-01,6.487160176038742065e-02,2.310180175781250000e+03
6.796783208847045898e-01,7.733280956745147705e-02,2.782923339843750000e+03
8.096933960914611816e-01,6.167767941951751709e-02,3.118725585937500000e+03
3.544216156005859375e-01,9.495159983634948730e-02,1.037741821289062500e+03
6.319383978843688965e-01,7.171893864870071411e-02,2.244422851562500000e+03
8.070036768913269043e-01,3.434920608997344971e-01,7.460803222656250000e+02
8.035444021224975586e-01,7.375726103782653809e-02,2.934538330078125000e+03
6.700060367584228516e-01,1.174717992544174194e-01,2.244505371093750000e+03
3.510651290416717529e-01,1.343364566564559937e-01,8.685355224609375000e+02
6.491180658340454102e-01,6.789991259574890137e-02,1.904382934570312500e+03
6.690718531608581543e-01,6.998036056756973267e-02,1.813081665039062500e+03
4.815248548984527588e-01,7.699403911828994751e-02,1.561795776367187500e+03
7.274197340011596680e-01,7.204218208789825439e-02,3.154756591796875000e+03
6.406764388084411621e-01,1.376407593488693237e-01,1.353988159179687500e+03
7.342240214347839355e-01,7.745012640953063965e-02,3.284558349609375000e+03
7.644468545913696289e-01,6.607127189636230469e-02,3.356475097656250000e+03
7.801969051361083984e-01,5.820235237479209900e-02,3.478344238281250000e+03
8.087915778160095215e-01,5.513098463416099548e-02,2.847204345703125000e+03
7.643300890922546387e-01,6.640352308750152588e-02,2.930499755859375000e+03
4.493997991085052490e-01,1.484930962324142456e-01,1.367989868164062500e+03
7.090794444084167480e-01,7.216510921716690063e-02,2.544949218750000000e+03
6.401244997978210449e-01,9.027266502380371094e-02,1.906861572265625000e+03
5.370545983314514160e-01,9.983821213245391846e-02,1.588971923828125000e+03
6.655333638191223145e-01,7.726451009511947632e-02,2.506149169921875000e+03
5.275496840476989746e-01,9.010470658540725708e-02,1.547110351562500000e+03
8.066370487213134766e-01,5.650790780782699585e-02,2.808208984375000000e+03
7.146975994110107422e-01,7.120857387781143188e-02,2.909808105468750000e+03
7.037175893783569336e-01,8.604434877634048462e-02,2.244418701171875000e+03
5.797697901725769043e-01,6.711250543594360352e-02,1.683697753906250000e+03
6.582576632499694824e-01,5.986290425062179565e-02,2.830123535156250000e+03
3.631834089756011963e-01,6.185926869511604309e-02,1.155124389648437500e+03
8.326220512390136719e-01,4.639776423573493958e-02,2.748314208984375000e+03
4.941011667251586914e-01,9.394565969705581665e-02,1.887604125976562500e+03
7.161361575126647949e-01,8.196199685335159302e-02,2.697900390625000000e+03
5.192217230796813965e-01,7.372558861970901489e-02,2.067624511718750000e+03
7.926700115203857422e-01,6.807536631822586060e-02,3.048253173828125000e+03
5.833041071891784668e-01,8.730290830135345459e-02,2.057250976562500000e+03
7.581818699836730957e-01,7.362994551658630371e-02,2.471083007812500000e+03
5.446346998214721680e-01,1.026513800024986267e-01,1.999775390625000000e+03
7.416443228721618652e-01,6.515131145715713501e-02,3.044397216796875000e+03
6.853412389755249023e-01,7.979221642017364502e-02,2.221679443359375000e+03
8.121712803840637207e-01,7.060331851243972778e-02,2.219085449218750000e+03
9.977436065673828125e-01,3.565407395362854004e-01,1.661548828125000000e+03
3.797501623630523682e-01,1.489951759576797485e-01,9.487213134765625000e+02
7.428135275840759277e-01,6.859744340181350708e-02,2.752488769531250000e+03
6.912012696266174316e-01,1.313970386981964111e-01,2.783200683593750000e+03
7.611889243125915527e-01,6.603766977787017822e-02,2.581337158203125000e+03
5.311157107353210449e-01,1.196743547916412354e-01,2.135633300781250000e+03
7.735227346420288086e-01,8.392219245433807373e-02,2.719935058593750000e+03
6.949910521507263184e-01,9.084783494472503662e-02,3.118185791015625000e+03
5.894088149070739746e-01,6.481125950813293457e-02,2.266275390625000000e+03
7.288386821746826172e-01,6.206180900335311890e-02,2.898099365234375000e+03
7.271466851234436035e-01,6.290676444768905640e-02,2.666017089843750000e+03
4.372922182083129883e-01,8.356740325689315796e-02,1.203277587890625000e+03
6.691974401473999023e-01,6.715491414070129395e-02,2.649450439453125000e+03
7.512321472167968750e-01,8.666277676820755005e-02,1.989995483398437500e+03
8.307352662086486816e-01,6.396570801734924316e-02,2.655660644531250000e+03
6.719176173210144043e-01,7.173763960599899292e-02,2.697026611328125000e+03
5.075363516807556152e-01,7.979451119899749756e-02,1.945207397460937500e+03
4.254337847232818604e-01,1.553158611059188843e-01,1.017942626953125000e+03
4.561610519886016846e-01,7.920984178781509399e-02,1.615083862304687500e+03
6.174075603485107422e-01,1.037954986095428467e-01,1.755171875000000000e+03
8.083817958831787109e-01,8.396889269351959229e-02,2.843232666015625000e+03
5.853256583213806152e-01,8.015067875385284424e-02,2.332303222656250000e+03
7.395328879356384277e-01,5.936505645513534546e-02,3.480735595703125000e+03
8.317809104919433594e-01,7.962077111005783081e-02,2.649635009765625000e+03
5.985670685768127441e-01,6.302319467067718506e-02,2.211790039062500000e+03
6.726393103599548340e-01,6.012786552309989929e-02,3.037614501953125000e+03
6.698322892189025879e-01,8.017995953559875488e-02,2.059597900390625000e+03
6.440039277076721191e-01,7.732699811458587646e-02,2.623477539062500000e+03
6.415732502937316895e-01,7.005511224269866943e-02,3.113157470703125000e+03
7.914341092109680176e-01,6.401331722736358643e-02,2.172736816406250000e+03
7.037994265556335449e-01,6.001464277505874634e-02,2.467304199218750000e+03
6.731554269790649414e-01,5.035416781902313232e-02,2.208020507812500000e+03
6.492820382118225098e-01,7.417868077754974365e-02,2.456842773437500000e+03
6.033632159233093262e-01,8.407399803400039673e-02,1.706994506835937500e+03
7.143526673316955566e-01,6.206196174025535583e-02,2.502160156250000000e+03
7.192618250846862793e-01,8.222975581884384155e-02,2.333655761718750000e+03
5.591621994972229004e-01,1.014896929264068604e-01,1.767210571289062500e+03
7.407414913177490234e-01,9.532745182514190674e-02,3.062623046875000000e+03
7.907187938690185547e-01,7.774431258440017700e-02,3.668513427734375000e+03
8.025354743003845215e-01,6.484244018793106079e-02,3.494269775390625000e+03
7.957535386085510254e-01,6.319318711757659912e-02,3.347532470703125000e+03
7.223334312438964844e-01,1.017421334981918335e-01,2.517079589843750000e+03
6.231657266616821289e-01,6.330358237028121948e-02,2.561670410156250000e+03
6.352142691612243652e-01,6.519904732704162598e-02,2.156077636718750000e+03
5.939088463783264160e-01,6.523559242486953735e-02,2.212850097656250000e+03
4.947271049022674561e-01,6.613832712173461914e-02,1.801108154296875000e+03
6.399734020233154297e-01,7.218118011951446533e-02,2.333486572265625000e+03
6.969735026359558105e-01,8.201084285974502563e-02,2.430522216796875000e+03
6.064456105232238770e-01,8.990704268217086792e-02,2.175258056640625000e+03
7.975931167602539062e-01,6.467770040035247803e-02,2.720909423828125000e+03
7.261115312576293945e-01,1.344520002603530884e-01,1.251685668945312500e+03
6.569598317146301270e-01,7.272087037563323975e-02,2.286100585937500000e+03
5.217097997665405273e-01,8.540962636470794678e-02,1.501209228515625000e+03
7.644968032836914062e-01,9.521687030792236328e-02,2.786842285156250000e+03
7.069924473762512207e-01,6.662988662719726562e-02,2.303349609375000000e+03
7.745162248611450195e-01,6.675079464912414551e-02,3.236840576171875000e+03
5.849319696426391602e-01,7.881194353103637695e-02,2.290259277343750000e+03
7.568492293357849121e-01,8.034598827362060547e-02,2.493143310546875000e+03
4.590976536273956299e-01,6.225371360778808594e-02,1.518030151367187500e+03
3.261326551437377930e-01,8.897575736045837402e-02,9.016538696289062500e+02
7.934573888778686523e-01,6.254465132951736450e-02,2.906845214843750000e+03
4.200091958045959473e-01,7.352659106254577637e-02,1.297327270507812500e+03
7.716638445854187012e-01,7.178982347249984741e-02,2.766559326171875000e+03
5.776805877685546875e-01,1.253475099802017212e-01,2.094630859375000000e+03
7.175781726837158203e-01,7.939226180315017700e-02,3.016745849609375000e+03
5.606805086135864258e-01,7.098761945962905884e-02,2.043128784179687500e+03
5.299163460731506348e-01,8.185008913278579712e-02,1.854127441406250000e+03
5.717331767082214355e-01,6.797958165407180786e-02,1.381893798828125000e+03
7.111781835556030273e-01,7.663614302873611450e-02,2.863354003906250000e+03
7.591680884361267090e-01,8.056665211915969849e-02,2.107731933593750000e+03
7.583255171775817871e-01,8.877590298652648926e-02,2.235332519531250000e+03
6.827115416526794434e-01,6.632483005523681641e-02,2.468063476562500000e+03
5.841538310050964355e-01,9.634964168071746826e-02,1.457156616210937500e+03
7.692921757698059082e-01,8.233072608709335327e-02,3.248729980468750000e+03
6.796140670776367188e-01,9.206949919462203979e-02,2.450603027343750000e+03
7.040886282920837402e-01,6.310794502496719360e-02,3.119764892578125000e+03
6.050087213516235352e-01,7.917984575033187866e-02,1.941198486328125000e+03
6.554251909255981445e-01,7.588560134172439575e-02,2.210032470703125000e+03
6.572320461273193359e-01,8.600229024887084961e-02,1.913201782226562500e+03
8.350456953048706055e-01,2.509689033031463623e-01,1.734626586914062500e+03
4.863065779209136963e-01,7.722866535186767578e-02,1.656001464843750000e+03
5.634861588478088379e-01,6.227864325046539307e-02,2.128793212890625000e+03
6.327951550483703613e-01,8.172958344221115112e-02,1.880163330078125000e+03
7.263248562812805176e-01,1.077350899577140808e-01,2.491386962890625000e+03
6.423023939132690430e-01,7.344022393226623535e-02,2.406837158203125000e+03
7.758187651634216309e-01,7.333768904209136963e-02,2.615938232421875000e+03
7.556421756744384766e-01,8.437088131904602051e-02,3.077145507812500000e+03
5.367356538772583008e-01,1.228828579187393188e-01,1.056902587890625000e+03
